Type,Capaciteit (kg),Snelheid (m/min),Parten
SH 3005-25 1/1 *2,500,"4,1/25",1/1
SH 3006-25 1/1 *2,630,"4,1/25",1/1
SH 3008-20 1/1 *2,800,"3,3/20",1/1
SH 3005-25 2/1,1.000,"2/12,5",2/1
SH 3005-40 2/1,1.000,"3,3/20",2/1
SH 3006-25 2/1,1.250,"2/12,5",2/1
SH 3006-40 2/1,1.250,"3,3/20",2/1
SH 3006-40 2/1,1.250,"3,3/20",2/1
SH 3008-20 2/1,1.600,"1,6/10",2/1
SH 3008-32 2/1,1.600,"2,6/16",2/1
SH 3005-25 4/1,2.000,"1/6,3",4/1
SH 3005-40 4/1,2.000,"1,6/10",4/1
SH 3006-25 4/1,2.500,"1/6,3",4/1
SH 3006-40 4/1,2.500,"1,6/10",4/1
SH 3008-20 4/1,3.200,"0,8/5",4/1
SH 3008-32 4/1,3.200,"1,3/8",4/1
SH 3005-25 2/2-1 *2,500,"4,1/25",2/2-1
SH 3006-25 2/2-1 *2,630,"4,1/25",2/2-1
SH 3008-20 2/2-1 *2,800,"3,3/20",2/2-1
SH 3005-25 4/2-1,1.000,"2/12,5",4/2-1
SH 3005-40 4/2-1,1.000,"3,3/20",4/2-1
SH 4010-20 2/2-1 *2,1.000,"3,3/20",2/2-1
SH 3006-25 4/2-1,1.250,"2/12,5",4/2-1
SH 3006-40 4/2-1,1.250,"3,3/20",4/2-1
SH 3008-20 4/2-1,1.600,"1,6/10",4/2-1
SH 3008-32 4/2-1,1.600,"2,6/16",4/2-1
SH 3005-25 2/2-2,2x 250,"4,1/25",2/2-2
SH 3006-25 2/2-2,2x 320,"4,1/25",2/2-2
SH 3008-20 2/2-2,2x400,"3,3/20",2/2-2
SH 3005-25 4/2-2,2x 500,"2/12,5",4/2-2
SH 3005-40 4/2-2,2x 500,"3,3/20",4/2-2
SH 3006-25 4/2-2,2x 630,"2/12,5",4/2-2
SH 3008-20 4/2-2,2x 800,"1,6/10",4/2-2
SH 3008-32 4/2-2,2x 800,"2,6/16",4/2-2
